Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.86      0.05     0.05                             _init
 14.29      0.09     0.04  5324310     0.00     0.00  s21::Vector3::Vector3(s21::Vector3 const&)
 10.72      0.12     0.03  3825342     0.00     0.00  std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> >::push_back(s21::FaceVertex const&)
  7.14      0.14     0.02  5834402     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  7.14      0.16     0.02  5360779     0.00     0.00  std::char_traits<char>::length(char const*)
  3.57      0.17     0.01  5834402     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, true>)
  3.57      0.18     0.01  5834402     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  3.57      0.19     0.01  4226096     0.00     0.00  void std::_Construct<s21::Vector3, s21::Vector3 const&>(s21::Vector3*, s21::Vector3 const&)
  3.57      0.20     0.01  3825344     0.00     0.00  bool __gnu_cxx::operator!=<s21::FaceVertex*, std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> > >(__gnu_cxx::__normal_iterator<s21::FaceVertex*, std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> > > const&, __gnu_cxx::__normal_iterator<s21::FaceVertex*, std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> > > const&)
  3.57      0.21     0.01  3825342     0.00     0.00  __gnu_cxx::__normal_iterator<s21::FaceVertex*, std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> > >::operator++()
  3.57      0.22     0.01  3825342     0.00     0.00  __gnu_cxx::__normal_iterator<s21::FaceVertex*, std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> > >::operator*() const
  3.57      0.23     0.01  3825342     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::operator-(long) const
  3.57      0.24     0.01  3528151     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  3.57      0.25     0.01  1004384     0.00     0.00  s21::Loader::ParseFace(std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&)
  3.57      0.26     0.01       44     0.23     0.23  std::vector<unsigned int, std::allocator<unsigned int> >::_S_relocate(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  3.57      0.27     0.01        2     5.00    44.40  ModelRenderer::ModelRenderer(QOpenGLExtraFunctions*, s21::Loader const&)
  3.57      0.28     0.01        2     5.00    70.59  s21::Loader::LoadFromFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.28     0.00 13687514     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.28     0.00 11476070     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
  0.00      0.28     0.00  7650772     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.00      0.28     0.00  7650734     0.00     0.00  __gnu_cxx::__normal_iterator<s21::FaceVertex*, std::vector<s21::FaceVertex, std::allocator<s21::FaceVertex> > >::base() const
  0.00      0.28     0.00  7650707     0.00     0.00  s21::FaceVertex const& std::forward<s21::FaceVertex const&>(std::remove_reference<s21::FaceVertex const&>::type&)
  0.00      0.28     0.00  6422564     0.00     0.00  s21::Vector3 const& std::forward<s21::Vector3 const&>(std::remove_reference<s21::Vector3 const&>::type&)
  0.00      0.28     0.00  5836918     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.28     0.00  5836918     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      0.28     0.00  5834402     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.28     0.00  5834402     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.28     0.00  5830780     0.00     0.00  __gnu_cxx::__normal_iterator<s21::Vector3 const*, std::vector<s21::Vector3, std::allocator<s21::Vector3> > >::base() const
  0.00      0.28     0.00  5358263     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.28     0.00  4226096     0.00     0.00  s21::Vector3* std::__addressof<s21::Vector3>(s21::Vector3&)
  0.00      0.28     0.00  3825386     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end()
  0.00      0.28     0.00  3825342     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::operator*() const
  0.00      0.28     0.00  3825342     0.00     0.00  unsigned int& std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      0.28     0.00  3825342     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::back()
  0.00      0.28     0.00  3825342     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int&&)
  0.00      0.28     0.00  3825342     0.00     0.00  std::remove_reference<unsigned int&>::type&& std::move<unsigned int&>(unsigned int&)
  0.00      0.28     0.00  2915385     0.00     0.00  bool __gnu_cxx::operator!=<s21::Vector3 const*, std::vector<s21::Vector3, std::allocator<s21::Vector3> > >(__gnu_cxx::__normal_iterator<s21::Vector3 const*, std::vector<s21::Vector3, std::allocator<s21::Vector3> > > const&, __gnu_cxx::__normal_iterator<s21::Vector3 const*, std::vector<s21::Vector3, std::allocator<s21::Vector3> > > const&)
  0.00      0.28     0.00  2915378     0.00     0.00  __gnu_cxx::__normal_iterator<s21::Vector3 const*, std::vector<s21::Vector3, std::allocator<s21::Vector3> > >::operator++()
  0.00      0.28     0.00  2915378     0.00     0.00  __gnu_cxx::__normal_iterator<s21::Vector3 const*, std::vector<s21::Vector3, std::allocator<s21::Vector3> > >::operator*() const
  0.00      0.28     0.00  1098221     0.00     0.00  s21::Vector3::Vector3()
  0.00      0.28     0.00  1098214     0.00     0.00  std::vector<s21::Vector3, std::allocator<s21::Vector3> >::push_back(s21::Vector3 const&)
  0.00      0.28     0.00  1004530     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.28     0.00   937693     0.00     0.00  s21::Vector2 const& std::forward<s21::Vector2 const&>(std::remove_reference<s21::Vector2 const&>::type&)
  0.00      0.28     0.00   712497     0.00     0.00  s21::Vector2::Vector2(s21::Vector2 const&)
  0.00      0.28     0.00   487320     0.00     0.00  void std::_Construct<s21::Vector2, s21::Vector2 const&>(s21::Vector2*, s21::Vector2 const&)
  0.00      0.28     0.00   487320     0.00     0.00  s21::Vector2* std::__addressof<s21::Vector2>(s21::Vector2&)
  0.00      0.28     0.00   450362     0.00     0.00  __gnu_cxx::__normal_iterator<s21::Vector2 const*, std::vector<s21::Vector2, std::allocator<s21::Vector2> > >::base() const
  0.00      0.28     0.00   225178     0.00     0.00  bool __gnu_cxx::operator!=<s21::Vector2 const*, std::vector<s21::Vector2, std::allocator<s21::Vector2> > >(__gnu_cxx::__normal_iterator<s21::Vector2 const*, std::vector<s21::Vector2, std::allocator<s21::Vector2> > > const&, __gnu_cxx::__normal_iterator<s21::Vector2 const*, std::vector<s21::Vector2, std::allocator<s21::Vector2> > > const&)
  0.00      0.28     0.00   225177     0.00     0.00  s21::Vector2::Vector2()
  0.00      0.28     0.00   225177     0.00     0.00  __gnu_cxx::__normal_iterator<s21::Vector2 const*, std::vector<s21::Vector2, std::allocator<s21::Vector2> > >::operator++()
  0.00      0.28     0.00   225177     0.00     0.00  __gnu_cxx::__normal_iterator<s21::Vector2 const*, std::vector<s21::Vector2, std::allocator<s21::Vector2> > >::operator*() const
  0.00      0.28     0.00   225177     0.00     0.00  std::vector<s21::Vector2, std::allocator<s21::Vector2> >::push_back(s21::Vector2 const&)
  0.00      0.28     0.00   160768     0.00     0.00  s21::Vector4::operator[](int) const
  0.00      0.28     0.00   104654     0.00     0.00  s21::Matrix4x4::operator[](int)
  0.00      0.28     0.00   103882     0.00     0.00  s21::Vector4::operator[](int)
  0.00      0.28     0.00    82302     0.00     0.00  s21::Matrix4x4::operator[](int) const
  0.00      0.28     0.00    17121     0.00     0.00  QScopedPointer<QObjectData, QScopedPointerDeleter<QObjectData> >::operator->() const
  0.00      0.28     0.00    12248     0.00     0.00  s21::Vector4::Vector4(float, float, float, float)
  0.00      0.28     0.00     9396     0.00     0.00  s21::Vector4::Vector4()
  0.00      0.28     0.00     8776     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_ptr() const
  0.00      0.28     0.00     8776     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_addr() const
  0.00      0.28     0.00     8776     0.00     0.00  std::__detail::_Select1st::__1st_type<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> const&>::type&& std::__detail::_Select1st::operator()<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> const&>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> const&) const
  0.00      0.28     0.00     8776     0.00     0.00  std::__detail::_Hashtable_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, false, true> >::_M_key_equals(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__detail::_Hash_node_value<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true> const&) const
  0.00      0.28     0.00     8776     0.00     0.00  std::__detail::_Hashtable_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, false, true> >::_M_eq() const
  0.00      0.28     0.00     8776     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>::_M_cget() const
  0.00      0.28     0.00     8776     0.00     0.00  std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.28     0.00     8776     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> const& std::forward<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> const&>(std::remove_reference<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> const&>::type&)
  0.00      0.28     0.00     8776     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.28     0.00     5032     0.00     0.00  std::__detail::_Node_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, false, true>::_Node_iterator(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true>*)
  0.00      0.28     0.00     5032     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true>*)
  0.00      0.28     0.00     4536     0.00     0.00  s21::Vector3::operator[](int) const
  0.00      0.28     0.00     3774     0.00     0.00  std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true>::_M_next() const
  0.00      0.28     0.00     2520     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_ptr()
  0.00      0.28     0.00     2520     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_addr()
  0.00      0.28     0.00     2520     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.28     0.00     2520     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::end()
  0.00      0.28     0.00     2516     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.28     0.00     2516     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.28     0.00     2516     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.28     0.00     2514     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.28     0.00     2514     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_begin() const
  0.00      0.28     0.00     2514     0.00     0.00  std::__detail::_Hash_code_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::__detail::_Select1st, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.28     0.00     2512     0.00     0.00  Shader::GetUniformLocation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
